Starting program: /home/jonas/Studium/Bachelorarbeit/MAGIC_Bachelorarbeit/microcontroller/cw521/cw521.elf 
Start: 1; End: 10; Interval: 1; Threshold: 1; Measurements per block: 30

Number of blocks: 1
Number of cycles: 46022769; error? 1
Number of cycles: 46023288; error? 1
Number of cycles: 46022983; error? 1
Number of cycles: 46022960; error? 1
Number of cycles: 46022335; error? 1
Number of cycles: 46023228; error? 1
Number of cycles: 46022869; error? 1
Number of cycles: 46023359; error? 1
Number of cycles: 46022599; error? 1
Number of cycles: 46023269; error? 1
Number of cycles: 46022948; error? 1
Number of cycles: 46023037; error? 1
Number of cycles: 46023070; error? 1
Number of cycles: 46023324; error? 1
Number of cycles: 46022575; error? 1
Number of cycles: 46023111; error? 1
Number of cycles: 46022308; error? 1
Number of cycles: 46022997; error? 1
Number of cycles: 46023286; error? 1
Number of cycles: 46022973; error? 1
Number of cycles: 46022967; error? 1
Number of cycles: 46023245; error? 1
Number of cycles: 46023005; error? 1
Number of cycles: 46023210; error? 1
Number of cycles: 46023327; error? 1
Number of cycles: 46023004; error? 1
Number of cycles: 46022700; error? 1
Number of cycles: 46023246; error? 1
Number of cycles: 46022786; error? 1
Average: 46022992.000000
Standard deviation: 276.315765

Number of blocks: 8
Number of cycles: 46924174; error? 1
Number of cycles: 46924248; error? 1
Number of cycles: 46924718; error? 1
Number of cycles: 46924274; error? 1
Number of cycles: 46924342; error? 1
Number of cycles: 46924247; error? 1
Number of cycles: 46924373; error? 1
Number of cycles: 46924695; error? 1
Number of cycles: 46924399; error? 1
Number of cycles: 46924323; error? 1
Number of cycles: 46924301; error? 1
Number of cycles: 46924509; error? 1
Number of cycles: 46924688; error? 1
Number of cycles: 46924762; error? 1
Number of cycles: 46924409; error? 1
Number of cycles: 46924907; error? 1
Number of cycles: 46924589; error? 1
Number of cycles: 46923752; error? 1
Number of cycles: 46924366; error? 1
Number of cycles: 46924912; error? 1
Number of cycles: 46924226; error? 1
Number of cycles: 46924370; error? 1
Number of cycles: 46924472; error? 1
Number of cycles: 46924250; error? 1
Number of cycles: 46924232; error? 1
Number of cycles: 46924514; error? 1
Number of cycles: 46924014; error? 1
Number of cycles: 46924112; error? 1
Number of cycles: 46924644; error? 1
Number of cycles: 46924253; error? 1
Average: 46924412.000000
Standard deviation: 254.212509

Number of blocks: 9
Number of cycles: 47782661; error? 1
Number of cycles: 47782634; error? 1
Number of cycles: 47782278; error? 1
Number of cycles: 47782332; error? 1
Number of cycles: 47782283; error? 1
Number of cycles: 47782363; error? 1
Number of cycles: 47782247; error? 1
Number of cycles: 47782378; error? 1
Number of cycles: 47782781; error? 1
Number of cycles: 47782664; error? 1
Number of cycles: 47782668; error? 1
Number of cycles: 47782512; error? 1
Number of cycles: 47782438; error? 1
Number of cycles: 47782070; error? 1
Number of cycles: 47782617; error? 1
Number of cycles: 47782188; error? 1
Number of cycles: 47782769; error? 1
Number of cycles: 47781828; error? 1
Number of cycles: 47783140; error? 1
Number of cycles: 47782524; error? 1
Number of cycles: 47782503; error? 1
Number of cycles: 47782378; error? 1
Number of cycles: 47782785; error? 1
Number of cycles: 47782565; error? 1
Number of cycles: 47782227; error? 1
Number of cycles: 47782321; error? 1
Number of cycles: 47781834; error? 1
Number of cycles: 47782602; error? 1
Number of cycles: 47782513; error? 1
Number of cycles: 47782583; error? 1
Average: 47782460.000000
Standard deviation: 273.304718

Number of blocks: 10
Number of cycles: 48683489; error? 1
Number of cycles: 48683891; error? 1
Number of cycles: 48683579; error? 1
Number of cycles: 48683976; error? 1
Number of cycles: 48684066; error? 1
Number of cycles: 48683978; error? 1
Number of cycles: 48684050; error? 1
Number of cycles: 48683286; error? 1
Number of cycles: 48683924; error? 1
Number of cycles: 48684448; error? 1
Number of cycles: 48684040; error? 1
Number of cycles: 48683878; error? 1
Number of cycles: 48683509; error? 1
Number of cycles: 48683577; error? 1
Number of cycles: 48683990; error? 1
Number of cycles: 48683710; error? 1
Number of cycles: 48683960; error? 1
Number of cycles: 48684245; error? 1
Number of cycles: 48684077; error? 1
Number of cycles: 48683766; error? 1
Number of cycles: 48684160; error? 1
Number of cycles: 48683675; error? 1
Number of cycles: 48683230; error? 1
Number of cycles: 48683915; error? 1
Number of cycles: 48683969; error? 1
Number of cycles: 48684252; error? 1
Number of cycles: 48684191; error? 1
Number of cycles: 48683799; error? 1
Number of cycles: 48683690; error? 1
Number of cycles: 48683668; error? 1
Average: 48683864.000000
Standard deviation: 280.112366


Program received signal SIGINT, Interrupt.
main () at main_cw521.c:471
warning: Source file is more recent than executable.
471	  while (true) {
