Starting program: /home/jonas/Studium/Bachelorarbeit/MAGIC_Bachelorarbeit/microcontroller/cw521/cw521.elf 
Start: 1; End: 10; Interval: 1; Threshold: 1; Measurements per block: 50

Number of blocks: 1
Number of cycles: 42898775; error? 1
Number of cycles: 42898857; error? 1
Number of cycles: 42898722; error? 1
Number of cycles: 42898913; error? 1
Number of cycles: 42898659; error? 1
Number of cycles: 42898737; error? 1
Number of cycles: 42898821; error? 1
Number of cycles: 42898872; error? 1
Number of cycles: 42897958; error? 1
Number of cycles: 42898832; error? 1
Number of cycles: 42898982; error? 1
Number of cycles: 42898659; error? 1
Number of cycles: 42899136; error? 1
Number of cycles: 42898744; error? 1
Number of cycles: 42898369; error? 1
Number of cycles: 42899255; error? 1
Number of cycles: 42898675; error? 1
Number of cycles: 42898473; error? 1
Average: 42898724.000000
Standard deviation: 256.094757

Number of blocks: 4
Number of cycles: 44024316; error? 1
Number of cycles: 44023955; error? 1
Number of cycles: 44023746; error? 1
Number of cycles: 44024344; error? 1
Number of cycles: 44023929; error? 1
Number of cycles: 44024101; error? 1
Number of cycles: 44024032; error? 1
Number of cycles: 44023359; error? 1
Number of cycles: 44023838; error? 1
Number of cycles: 44023987; error? 1
Number of cycles: 44023928; error? 1
Number of cycles: 44023392; error? 1
Number of cycles: 44024158; error? 1
Number of cycles: 44023844; error? 1
Number of cycles: 44023769; error? 1
Number of cycles: 44023861; error? 1
Number of cycles: 44024450; error? 1
Number of cycles: 44024130; error? 1
Number of cycles: 44023828; error? 1
Number of cycles: 44024316; error? 1
Number of cycles: 44023360; error? 1
Number of cycles: 44023608; error? 1
Number of cycles: 44023610; error? 1
Number of cycles: 44023722; error? 1
Number of cycles: 44023591; error? 1
Number of cycles: 44024098; error? 1
Number of cycles: 44024005; error? 1
Number of cycles: 44023946; error? 1
Number of cycles: 44023999; error? 1
Number of cycles: 44023902; error? 1
Average: 44023908.000000
Standard deviation: 276.199921

Number of blocks: 5
Number of cycles: 45065393; error? 1
Number of cycles: 45065364; error? 1
Number of cycles: 45065504; error? 1
Number of cycles: 45065441; error? 1
Number of cycles: 45065013; error? 1
Number of cycles: 45065948; error? 1
Number of cycles: 45065810; error? 1
Number of cycles: 45065565; error? 1
Number of cycles: 45065211; error? 1
Number of cycles: 45064942; error? 1
Number of cycles: 45065135; error? 1
Number of cycles: 45064618; error? 1
Number of cycles: 45065410; error? 1
Number of cycles: 45065492; error? 1
Number of cycles: 45065478; error? 1
Number of cycles: 45064688; error? 1
Number of cycles: 45064964; error? 1
Number of cycles: 45065290; error? 1
Number of cycles: 45064958; error? 1
Number of cycles: 45064926; error? 1
Number of cycles: 45065637; error? 1
Number of cycles: 45064998; error? 1
Number of cycles: 45065448; error? 1
Number of cycles: 45064944; error? 1
Number of cycles: 45065321; error? 1
Number of cycles: 45065154; error? 1
Number of cycles: 45065140; error? 1
Number of cycles: 45065575; error? 1
Number of cycles: 45065378; error? 1
Number of cycles: 45065752; error? 1
Average: 45065280.000000
Standard deviation: 317.987854

Number of blocks: 6
Number of cycles: 46119439; error? 1
Number of cycles: 46119078; error? 1
Number of cycles: 46118925; error? 1
Number of cycles: 46119516; error? 1
Number of cycles: 46119498; error? 1
Number of cycles: 46119348; error? 1
Number of cycles: 46119289; error? 1
Number of cycles: 46119456; error? 1
Number of cycles: 46119124; error? 1
Number of cycles: 46119441; error? 1
Number of cycles: 46119273; error? 1
Number of cycles: 46119739; error? 1
Number of cycles: 46119192; error? 1
Number of cycles: 46119783; error? 1
Number of cycles: 46119662; error? 1
Number of cycles: 46119036; error? 1
Number of cycles: 46120067; error? 1
Number of cycles: 46119188; error? 1
Number of cycles: 46119548; error? 1
Number of cycles: 46119427; error? 1
Number of cycles: 46119743; error? 1
Number of cycles: 46119500; error? 1
Number of cycles: 46119388; error? 1
Number of cycles: 46119229; error? 1
Number of cycles: 46120287; error? 1
Number of cycles: 46119540; error? 1
Number of cycles: 46119481; error? 1
Number of cycles: 46119116; error? 1
Number of cycles: 46119220; error? 1
Number of cycles: 46119962; error? 1
Average: 46119444.000000
Standard deviation: 306.260040

Number of blocks: 7
Number of cycles: 47228196; error? 1
Number of cycles: 47228649; error? 1
Number of cycles: 47228556; error? 1
Number of cycles: 47228580; error? 1
Number of cycles: 47228591; error? 1
Number of cycles: 47228799; error? 1
Number of cycles: 47228745; error? 1
Number of cycles: 47228743; error? 1
Number of cycles: 47228687; error? 1
Number of cycles: 47228879; error? 1
Number of cycles: 47229066; error? 1
Number of cycles: 47228820; error? 1
Number of cycles: 47228792; error? 1
Number of cycles: 47228708; error? 1
Number of cycles: 47228860; error? 1
Number of cycles: 47228875; error? 1
Number of cycles: 47228895; error? 1
Number of cycles: 47228575; error? 1
Number of cycles: 47228495; error? 1
Number of cycles: 47229070; error? 1
Number of cycles: 47228597; error? 1
Number of cycles: 47228893; error? 1
Number of cycles: 47228661; error? 1
Number of cycles: 47228630; error? 1
Number of cycles: 47227571; error? 1
Number of cycles: 47228873; error? 1
Number of cycles: 47228349; error? 1
Number of cycles: 47228982; error? 1
Number of cycles: 47228676; error? 1
Number of cycles: 47228739; error? 1
Average: 47228680.000000
Standard deviation: 280.043793

Number of blocks: 8
Number of cycles: 48310110; error? 1
Number of cycles: 48310762; error? 1
Number of cycles: 48309799; error? 1
Number of cycles: 48310140; error? 1
