Starting program: /home/jonas/Studium/Bachelorarbeit/MAGIC_Bachelorarbeit/microcontroller/cw521/cw521.elf 
Start: 2; End: 10; Interval: 1; Threshold: 1; Measurements per block: 30

Number of blocks: 2
Number of blocks: 7
Number of cycles: 46916279; error_corrected? 0
Number of cycles: 46916529; error_corrected? 0
Number of cycles: 46916360; error_corrected? 0
Number of cycles: 46915617; error_corrected? 0
Number of cycles: 46915353; error_corrected? 0
Number of cycles: 46915542; error_corrected? 0
Number of cycles: 46915062; error_corrected? 0
Number of cycles: 46916164; error_corrected? 0
Number of cycles: 46916647; error_corrected? 0
Number of cycles: 46915723; error_corrected? 0
Average: 46915928.000000
Standard deviation: 510.814270

Number of blocks: 8
Number of cycles: 47962149; error_corrected? 0
Number of cycles: 47962464; error_corrected? 0
Number of cycles: 47962276; error_corrected? 0
Number of cycles: 47961412; error_corrected? 0
Number of cycles: 47962314; error_corrected? 0
Number of cycles: 47962047; error_corrected? 0
Number of cycles: 47961833; error_corrected? 0
Number of cycles: 47961682; error_corrected? 0
Number of cycles: 47962936; error_corrected? 0
Number of cycles: 47962119; error_corrected? 0
Average: 47962120.000000
Standard deviation: 403.629517

Number of blocks: 9
Number of cycles: 48970884; error_corrected? 0
Number of cycles: 48970125; error_corrected? 0
Number of cycles: 48969500; error_corrected? 0
Number of cycles: 48970452; error_corrected? 0
Number of cycles: 48970236; error_corrected? 0
Number of cycles: 48969215; error_corrected? 0
Number of cycles: 48969680; error_corrected? 0
Number of cycles: 48969309; error_corrected? 0
Number of cycles: 48969386; error_corrected? 0
Number of cycles: 48969585; error_corrected? 0
Average: 48969836.000000
Standard deviation: 528.103027

Number of blocks: 10
Number of cycles: 50013401; error_corrected? 0
Number of cycles: 50013011; error_corrected? 0
Number of cycles: 50013382; error_corrected? 0
Number of cycles: 50013161; error_corrected? 0
Number of cycles: 50013415; error_corrected? 0
Number of cycles: 50013175; error_corrected? 0
Number of cycles: 50013829; error_corrected? 0
Number of cycles: 50013409; error_corrected? 0
Number of cycles: 50012536; error_corrected? 0
Number of cycles: 50013580; error_corrected? 0
Average: 50013288.000000
Standard deviation: 331.664886


Program received signal SIGINT, Interrupt.
main () at main_cw521.c:538
538	  while (true) {
